practice,country,summary,img,audio
"Ritual and ceremonies of Sebeïba in the oasis of Djanet, Algeria",Algeria,"The ritual and ceremonies of Sebeïba are practised by two communities living in Djanet during ten days in the first month of the Islamic lunar calendar. Male dancers and female singers compete for the right to represent their communities during a nine-day contest called Timoulawine. The chosen winners take part in the Sebeïba ritual and ceremonies the next day. The male dancers, dressed as warriors, and female singers walk to a place called Loghya for the performance of the ritual. Once there, the male dancers parade and present their weapons, then stand in a ritual circle rattling their swords continuously as the women sing traditional songs to the rhythm of the tambourine. At the end of the day, the participants disperse. Knowledge related to the ritual and ceremonies is transmitted directly from older to younger members. Local craftspeople produce and repair the uniforms, weapons, jewellery and musical instruments required for the ritual and ceremonies. The Sebeïba ritual and ceremonies are an important marker of cultural identity for Tuareg people living in the Algerian Sahara. They reinforce social cohesion, symbolically warding off potential violence between rival communities by simulating and transposing it to the realm of artistic competition.",N/A,N/A
Ritual dance of the royal drum,Burundi,"The ritual dance of the royal drum is a spectacle combining powerful, synchronized drumming with dancing, heroic poetry and traditional songs. The entire population of Burundi recognizes it as a fundamental part of its heritage and identity. The dance calls for at least a dozen or so drums, always in an odd number, arranged in a semicircle around a central drum. Several are beaten in a continuous rhythm, while the others keep to the beat set by the central drum. Two or three drummers then perform dances to the rhythm. The ritual drumming is performed during national or local feasts and to welcome important visitors, and is said to awaken the spirits of the ancestors and drive out evil spirits. Bearers are recruited from sanctuaries across the country, many of whom are the descendants of drum sanctuary guards. The ritual dance of the royal drum, the values it embodies and the specialized drum-making skills are passed down essentially through practice but also through formal education. Today, the ritual dance of the royal drum is an opportunity to transmit cultural, political and social messages, and a privileged means of bringing people of diverse generations and origins together, thereby encouraging unity and social cohesion.",N/A,N/A
"Slava, celebration of family saint patron’s day",Serbia,"In Serbia, Orthodox Christian families celebrate an important holiday in honour of the patron saint, Slava, who is believed to be their protector and provider of welfare. The celebration consists of the ritual offering of a bloodless sacrifice and a feast held for relatives, neighbours and friends. A specially designed candle is lit in the family home, then wine is poured over a Slava cake, prepared and decorated by the host’s wife, which is then cut crosswise, rotated and broken into four parts and lifted up. During the ritual, thanks are given to the saint and prayers are said for prosperity. The cutting is performed by the host and the oldest or most important guest and other family members. The feast then begins with the ceremonial drinking of wine, eating and a toast expressing wishes for health, fertility and well-being of the family and guests. Knowledge related to the Slava is passed down in families, with women playing an important role in transmitting knowledge concerning the performance of rituals, their meaning and purpose. The Slava feast reinforces social relations and plays an important role in establishing and maintaining dialogue in multi-ethnic and multi-confessional areas.",N/A,N/A
Smoke sauna tradition in Võromaa,Estonia,"The smoke sauna tradition is an important part of everyday life in the Võro community of Estonia. It comprises a rich set of traditions including the actual bathing customs, the skills of making bath whisks, building and repairing saunas, and smoking meat in the sauna. The sauna is a building or room heated by a stove covered with stones and with an elevated platform for sitting or lying. It has no chimney, and the smoke from burning wood circulates in the room. People usually visit the sauna together and remain until the body sweats. Water is thrown on the heated stones to produce hot steam-laden air and bathers beat their bodies with whisks to scrub off dead skin and stimulate blood circulation. After sweating, whisking, relaxing and possible healing procedures, people cool themselves outside and rinse their bodies with water. The procedure is repeated. The smoke sauna tradition is primarily a family custom, practised usually on Saturdays but also before major festivals or family events, whose main function is to relax the body and mind. Families take turns hosting each other. Usually an older family member is responsible for preparing the sauna, accompanied by children who gradually acquire the necessary skills.",N/A,N/A
"Tchopa, sacrificial dance of the Lhomwe people of southern Malawi",Malawi,"Tchopa is a performing art practised among Lhomwe communities in southern Malawi. The dance is usually performed during celebrations after good harvests and successful hunting trips and during offerings to ancestral spirits after calamities such as droughts and outbreaks of disease. Tchopa entails knowledge of particular dancing skills and singing, and employs three different sizes of drums. Twenty to thirty dancers perform in a circle while criss-crossing each other. Some dancers carry packs on their backs holding farming tools, animal skins, puppets, hunting gear and old kitchen utensils. Each village headman has a small group of Tchopa dancers. Although primarily performed by older Lhomwe men and women, who function as the bearers and practitioners and principal custodians, Tchopa is now also increasingly performed by children. Knowledge and skills for the dance are transmitted during practice sessions and occasional performances. Other key roles among the group include the makers of dancing costumes and drums, drummers, whistlers and dancers. Tchopa dance strengthens social cohesion among Lhomwe communities with members providing mutual support in times of need, such as during ill health and bereavement, and coming to the assistance of overburdened practitioners by providing communal labour in the field.",N/A,N/A
The tradition of carpet-making in Chiprovtsi,Bulgaria,"Kilimi are hand-woven carpets made by the women of Chiprovtsi in north-eastern Bulgaria. Almost every household in the town contains a vertical handloom, which the women use to make two-sided tapestries traditionally utilized as floor coverings. The weaver takes several threads of the warp with her left hand, interlaces the weft yarn into the warp and uses a small beater to tighten the weave. The men of the town typically engage in wool production, processing and dyeing. Naturally dyed yarn gives soft pastel carpet hues, while chemical dyes produce brighter shades. The finished carpets are renowned for their composition, ornamental motifs and colour. Carpet weaving goes hand in hand with beliefs, verbal formulae and ritual practices. The weavers say prayers and make wishes for success before starting a new carpet, and sing and tell stories while working at the loom. The process of transmission occurs informally from mothers and grandmothers to daughters, often while working together on large carpets. Carpet weaving is deeply integrated into the social and cultural life of the population. The best-known forms of ornamentation are reproduced throughout the community and even constitute the coat of arms of the town.",N/A,N/A
Traditional agricultural practice of cultivating the ‘vite ad alberello’ (head-trained bush vines) of the community of Pantelleria,Italy,"The traditional practice of cultivating head-trained bush vines (vite ad alberello) is transmitted through generations of vine growers and farmers of the Mediterranean island of Pantelleria. About 5,000 inhabitants own a plot of land, which they cultivate using sustainable methods. The technique consists of several phases. The ground is prepared by levelling the soil and digging a hollow to plant the vine. The main stem of the vine is then carefully pruned to produce six branches, forming a bush with a radial arrangement. The hollow is constantly reshaped to ensure the plant is growing in the right microclimate. The wine grapes are then harvested by hand during a ritual event starting at the end of July. The vine-growers and farmers of Pantelleria, male and female, practice vite ad alberello under harsh climatic conditions. The knowledge and skills of bearers and practitioners are handed down in families through oral and practical instruction in the local dialect. In addition, rituals and festivals organized between July and September allow the local community to share this social practice. The people of Pantelleria continue to identify themselves with vine growing and strive to preserve this practice.",N/A,N/A
"Traditional art and symbolism of Kelaghayi, making and wearing women’s silk headscarves",Azerbaijan,"Rooted in traditions found along the Great Silk Road, the art of Kelaghayi is concentrated in two locations in the Republic of Azerbaijan: the city of Sheki and the Basgal settlement. Kelaghayi making consists of several stages: fabric weaving, dyeing and woodblock decoration. Weavers choose thin silk threads from sericulture producers and weave fabrics on looms and then boil and dry them to make square-shaped cloths. Using vegetable substances, masters then dye the cloths various colours and decorate them with patterns using wooden stamps, covered with solutions made from rosin, paraffin and solid oil. The colours of headscarves have symbolic meanings and are often tied to specific social occasions, such as weddings, mourning ceremonies, daily activities and celebrations. The art of Kelaghayi making is transmitted through non-formal apprenticeship only, and is primarily a family occupation. Each family has its own stylistic features and patterns of decoration. The traditional practice of making and wearing headscarves is an expression of cultural identity and religious traditions and a symbol of social cohesion, reinforcing the role of women and strengthening the cultural unity of Azerbaijani society.",N/A,N/A
"Traditional brass and copper craft of utensil making among the Thatheras of Jandiala Guru, Punjab, India",India,"The craft of the Thatheras of Jandiala Guru constitutes the traditional technique of manufacturing brass and copper utensils in Punjab. The metals used – copper, brass and certain alloys – are believed to be beneficial for health. The process begins with procuring cooled cakes of metal that are flattened into thin plates and then hammered into curved shapes, creating the required small bowls, rimmed plates, to larger pots for water and milk, huge cooking vessels and other artefacts. Heating the plates while hammering and curving them into different shapes requires careful temperature control, which is achieved by using tiny wood-fired stoves (aided by hand-held bellows) buried in the earth. Utensils are manually finished by polishing with traditional materials such as sand and tamarind juice. Designs are made by skilfully hammering a series of tiny dents into the heated metal. Utensils may be manufactured for ritual or utilitarian purposes, both for individual and community use on special occasions such as weddings or at temples. The process of manufacturing is transmitted orally from father to son. Metalwork is not simply a form of livelihood for Thatheras, but it defines their family and kinship structure, work ethic and status within the social hierarchy of the town.",N/A,N/A
Traditional knowledge and skills in making Kyrgyz and Kazakh yurts (Turkic nomadic dwellings),Kazakhstan and Kyrgyzstan,"The yurt is a nomadic dwelling used among the Kazakh and Kyrgyz peoples. It has a wooden circular frame covered with felt and braided with ropes, and can be easily assembled and dismantled within a short period of time. The bearers of yurt-making knowledge are craftspeople, both men and women, who produce yurts and their interior decorations. Yurts are made from natural and renewable raw materials. Men and their apprentices make the wooden frames by hand, along with wooden, leather, bone and metal details. Women make the interior decorations and exterior coverings, ornamented with traditional zoomorphic, vegetative or geometric patterns. As a rule, they work in community-based groups supervised by experienced women artisans, and employ weaving, spinning, braiding, felting, embroidering, sewing and other traditional handicraft techniques. Yurt creation involves the whole community of craftspeople, and fosters common human values, constructive cooperation and creative imagination. Traditionally, knowledge and skills are transmitted within families or from teachers to apprentices. All festivities, ceremonies, births, weddings and funeral rituals are held in a yurt. As such, the yurt remains a symbol of family and traditional hospitality, fundamental to the identity of the Kazakh and Kyrgyz peoples.",N/A,N/A
Traditional Mauritian Sega,Mauritius,"Traditional Mauritian Sega Tipik is a vibrant performing art, emblematic of the Creole community and performed at informal private family events or in public spaces. Songs sung in a minor key gradually increase in tempo, as dancers move their hips and hands to a percussive beat, using short steps to manoeuvre around each other in a variety of different formations. Each soloist improvises lyrics in the Creole language, sometimes blended with other languages, while a frame drum, box rattle and triangle keep time and produce the rhythmic beat. Sega songs can talk of love or address everyday challenges and concerns, with the meaning often enacted through the choreography. Traditionally, women dancers wear long skirts and petticoats while men wear rolled-up trousers, colourful shirts and straw hats, in memory of the dress of their ancestors. The main practitioners are the singers, dancers and musicians, who transmit their skills both formally and informally through participation and imitation. Some practitioners also make the instruments, and transmit their skills through informal apprenticeship. Representing the multiculturalism of Mauritian society, Sega breaks down cultural and class barriers, creates opportunities for intercultural encounters, and unifies various groups around a shared Mauritian heritage.",N/A,N/A
Ví and Giặm folk songs of Nghệ Tĩnh,Viet Nam,"Ví and Giặm songs are sung by a wide range of communities in Nghệ An and Hà Tĩnh Provinces of north-central Viet Nam. Specific songs are sung without instrumental accompaniment while people cultivate rice in the fields, row boats, make conical hats or lull children to sleep. Ví and Giặm lyrics use the specific dialect and linguistic idioms of the Nghệ Tĩnh region and practitioners sing with the particular singing voice of Nghệ Tĩnh people. Many of the songs focus on key values and virtues including respect for parents, loyalty, care and devotion, the importance of honesty and a good heart in the maintenance of village customs and traditions. Singing provides people with a chance to ease hardship while working, to relieve sorrow in their lives, to express feelings of sentiment between men and women, and to exchange feelings of love between unmarried boys and girls. Today Ví and Giặm are commonly performed at community cultural events and are sung by artists in theatres. Ví and Giặm are transmitted, preserved and promoted by master practitioners; and local performances and folk singing festivals provide opportunities for Ví and Giặm groups in villages and schools to transmit and practise the songs.",N/A,N/A
"Washi, craftsmanship of traditional Japanese hand-made paper",Japan,"The traditional craft of hand-making paper, or Washi, is practised in three communities in Japan: Misumi-cho in Hamada City, Shimane Prefecture, Mino City in Gifu Prefecture and Ogawa Town/Higashi-chichibu Village in Saitama Prefecture. The paper is made from the fibres of the paper mulberry plant, which are soaked in clear river water, thickened, and then filtered through a bamboo screen. Washi paper is used not only for letter writing and books, but also in home interiors to make paper screens, room dividers and sliding doors. Most of the inhabitants of the three communities play roles in keeping this craftsmanship viable, ranging from the cultivation of mulberry, training in the techniques, and the creation of new products to promote Washi domestically and abroad. Washi papermaking is transmitted on three levels: among families of Washi craftspeople, through preservation associations and by local municipalities. Families and their employees work and learn under Washi masters, who have inherited the techniques from their parents. All the people living in the communities take pride in their tradition of Washi-making and regard it as the symbol of their cultural identity. Washi also fosters social cohesion, as the communities comprise people directly engaged in or closely related to the practice.",N/A,N/A
Zmijanje embroidery,Bosnia and Herzegovina,"Zmijanje embroidery is a specific technique practised by the women of Zmijanje villages in Bosnia and Herzegovina. Traditionally, Zmijanje embroidery is used to decorate female costumes and household items, including wedding dresses, scarves, garments and bed linen. The main characteristic is the use of a deep blue thread, handmade with vegetable dyes, to embroider improvised geometrical shapes. The richness and variations of the embroidered designs determine the social status of the village women. Embroidery is usually performed among groups of women, who engage in needlework while singing and chatting. Each embroiderer adapts and reinvents the required knowledge and skills, as part of the process of transmission. The knowledge is conveyed orally and through practical work, mostly in formal educational environments. Students learn by watching experienced embroiderers combine pre-determined elements into numerous variations, and through regular and continuous practice. Zmijanje embroidery incorporates respect for diversity, creativity and non-verbal communication. It also has a sentimental and emotional value particularly for displaced populations, who use embroidered garments as an expression of national and local identity and pride. Embroidery ties together many elements of cultural heritage, such as music, rituals, oral traditions, handicrafts and symbolic expressions.",N/A,N/A
"Safeguarding the carillon culture: preservation, transmission, exchange and awareness-raising",Belgium,"The art of making music with bells (carillon) is performed by carillonneurs, traditionally during market and festive days. The programme to safeguard carillon culture exists in seventy-six cities and villages of Belgium and in thirty countries worldwide. The primary objectives are to preserve the components of historic carillon culture (practices, repertoire, instruments, music, oral and written history), and to ensure the continuity and sustainable development of carillon music as a living heritage that fosters cultural identity and social cohesion. Safeguarding efforts have also focused on preserving and restoring historic carillons with many formerly silent carillons now once more active. Transmission is secured by a number of educational initiatives, of which the Mechelen carillon school is the most important. Efforts have also been undertaken to revitalize the carillon, including promotion of new arrangements, compositions and genres of music. The programme combines respect for tradition with a willingness to innovate, constantly seeking new ways to safeguard carillon culture in contemporary society. It also promotes proven best practices, as well as a deep respect for local players in the field, building on cooperation among actors.",N/A,N/A
"Chovqan, a traditional Karabakh horse-riding game in the Republic of Azerbaijan",Azerbaijan,"Chovqan is a traditional horse-riding game played on a flat, grassy field by two competing teams of players mounted on Karabakh horses. Each team has five riders, with two fullbacks and three forwards. The game starts at the centre of the field and players use wooden mallets to try to drive a small leather or wooden ball into their opponents’ goal. The game is interspersed with instrumental folk music called janghi. Chovqan players and trainers are all local male farmers and skilled riders. They traditionally wear large astrakhan hats, long tight-fitting coats with a high waist, and special trousers, socks and shoes. People of all ages come to watch this traditional game and to support their teams. Chovqan strengthens feelings of identity rooted in nomadic culture and linked to the perception of the horse as an integral part of everyday life. The specific rules, skills and techniques of Chovqan are transmitted from experienced players to beginners through collective training. The practice and transmission of Chovqan have weakened, however, due to a loss of interest among the youth, combined with urbanization and migration, leading to a shortage of players, trainers and Karabakh horses.",N/A,N/A
"Empaako tradition of the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi of western Uganda",Uganda,"Empaako is a naming system practised by the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi, whereby children are given one of twelve names shared across the communities in addition to their given and family names. Addressing a person by her or his Empaako name is a positive affirmation of social ties. It can be used as a greeting or a declaration of affection, respect, honour or love. Use of Empaako can defuse tension or anger and sends a strong message about social identity and unity, peace and reconciliation. Empaako is given at a naming ceremony performed in the home and presided over by the clan head. The paternal aunts receive the baby and examine its features. Any resemblance to existing relatives forms the basis of the choice of name. The clan head then declares the name to the child. A shared meal of millet and smoked beef follows, gifts are presented to the baby and a tree is planted in its honour. The transmission of Empaako through naming rituals has dropped dramatically due to a general decline in appreciation of traditional culture and the diminishing use of the language associated with the element.",N/A,N/A
Mongolian calligraphy,Mongolia,"Mongolian calligraphy is the technique of handwriting in the Classical Mongolian script, which comprises ninety letters connected vertically by continuous strokes to create words. The letters are formed from six main strokes, known as head, tooth, stem, stomach, bow and tail, respectively. This meticulous writing is used for official letters, invitations, diplomatic correspondence and love letters; for a form of shorthand known as synchronic writing; and for emblems, logos, coins and stamps in ‘folded’ forms. Traditionally, mentors select the best students and train them to be calligraphers over a period of five to eight years. Students and teachers bond for life and continue to stimulate each other’s artistic endeavours. The rate of social transformation, urbanization and globalization have led to a significant drop in the number of young calligraphers. At present, only three middle-aged scholars voluntarily train the small community of just over twenty young calligraphers. Moreover, increases in the cost of living mean that mentors can no longer afford to teach the younger generation without remuneration. Special measures are therefore needed to attract young people to the traditional art of writing and to safeguard and revitalize the tradition of Mongolian script and calligraphy.",N/A,N/A
Nan Pa’ch ceremony,Guatemala,"The Paach ceremony is a corn-veneration ritual celebrated in San Pedro Sacatepéquez. The ceremony gives thanks for good harvests in a ritual that highlights the close connection between humans and nature and features prayers in the Mam language. The participants are mostly older farmers, both men and women, with extensive ties to the community and who are recognized as its leaders. Four prayer sayers, or parlamenteros, offer prayers during the ceremony, supported by four auxiliary parlamenteros; meanwhile four godmothers dress ceremonial corncobs and coordinate the preparation and serving of food. The Paach ceremony strengthens the identity of the community of San Pedro and its knowledge and respect for nature and its conservation. The transmission process is both oral and practical, with a group leader instructing new members at workshops and children accompanying their grandparents during the ceremony. In recent years, the Paach ceremony has decreased in frequency, with some young people seeing it as irrelevant, while economic insecurity has caused some bearers to withdraw from the practice. Furthermore, the advanced age of the elders, combined with diminished transmission, might result in the disappearance of this cultural expression.",N/A,N/A
Ancient Georgian traditional Qvevri wine-making method,Georgia,"Qvevri wine-making is practised throughout Georgia, particularly in village communities where unique varieties of grapes are grown. The Qvevri is an egg-shaped earthenware vessel used for making, ageing and storing the wine. Knowledge and experience of Qvevri manufacture and wine-making are passed down by families, neighbours, friends and relatives, all of whom join in communal harvesting and wine-making activities. Children learn how to tend the vines, press grapes, ferment wine, collect clay and make and fire Qvevris through observing their elders. The wine-making process involves pressing the grapes and then pouring the juice, grape skins, stalks and pips into the Qvevri, which is sealed and buried in the ground so that the wine can ferment for five to six months before being drunk. Most farmers and city dwellers use this method of making wine. Wine plays a vital role in everyday life and in the celebration of secular and religious events and rituals. Wine cellars are still considered the holiest place in the family home. The tradition of Qvevri wine-making defines the lifestyle of local communities and forms an inseparable part of their cultural identity and inheritance, with wine and vines frequently evoked in Georgian oral traditions and songs.",N/A,N/A
Annual pilgrimage to the mausoleum of Sidi ‘Abd el-Qader Ben Mohammed (Sidi Cheikh),Algeria,"Every year, nomadic and settled Sufi communities undertake a pilgrimage to the mausoleum of the Muslim mystic, Sidi ‘Abd el-Qader Ben Mohammed (Sidi Cheikh), located in El Abiodh Sidi Cheikh. Beginning on the last Thursday of June, three days of religious rituals and secular festive events honour the founder of the brotherhood. The pilgrimage renews ties and secular alliances among the Sufi brotherhood and ensures peace and stability between communities. It has also contributed to the recent growth in Sufism and helped to promote community values such as hospitality and collective practices including praises to Sidi Cheikh, Koran recitations, secular chants and dances. The rituals begin with a choral recital of the Koran, followed by a dawn ceremony that renews the communities’ affiliation to the Sufi brotherhood. The secular festivities include fencing, dances and equestrian competitions that involve more than 300 riders from different communities. The spiritual knowledge is learned and transmitted within families, while Sufi masters convey the key Sufi rituals and prayers to the initiated through formal teaching. Men’s and women’s dances and secular games are taught within associations or transmitted through practice.",N/A,N/A
Art of Đờn ca tài tử music and song in southern Viet Nam,Viet Nam,"A musical art with both scholarly and folk roots, Đờn ca tài tử is an indispensable part of the spiritual activity and cultural heritage of the people of southern Viet Nam. The music and songs evoke the people’s life and work on the land and rivers of the Mekong Delta region. Performed at numerous events such as festivals, death anniversary rituals and celebrations, Đờn ca tài tử is thus intimately connected with other cultural practices and customs, oral traditions and handicrafts. The performers express their feelings by improvising, ornamenting and varying the ‘skeletal melody’ and main rhythmic patterns of these pieces. Đờn ca tài tử is played on a variety of different instruments, including the moon-shaped lute, two-stringed fiddle, sixteen-stringed zither, pear-shaped lute, percussion, monochord and bamboo flute. Its repertoire is based on twenty principal songs and seventy-two classical songs. The musical art is passed on through oral transmission, based on imitation, from master instrumentalists and singers to students. Musicians need to study for at least three years to learn the basic instrumental techniques and master the musical modes to express different moods and emotions. Vocal students study the traditional songs and learn to improvise subtly, using different ornamentation techniques.",N/A,N/A
Celebrations of big shoulder-borne processional structures,Italy,"Catholic processions featuring large shoulder-borne processional structures take place throughout Italy, but particularly in four historic city centres: in Nola, a procession of eight wood and papier mâché obelisks commemorates the return of St Paolino; in Palmi, bearers carry a complex processional structure in honour of Our Lady of the Holy Letter; in Sassari, the Discesa dei Candelieri (Descent of the Candlesticks) involves the votive transportation of wooden obelisks; and in Viterbo, the Macchina di Santa Rosa (Tower of Santa Rosa) commemorates the town’s patron saint. The coordinated and equitable sharing of tasks in a common project is a fundamental part of the celebrations, which bind the communities together through the consolidation of mutual respect, cooperation and joint effort. Dialogue among the bearers who share this cultural heritage also results in the development of an exchange network. The celebrations require the involvement of musicians and singers, as well as skilled artisans who manufacture the processional structures and create the ceremonial clothes and artefacts. The festive communities rely on the informal transmission of these techniques and knowledge to recreate the structures every year, a process that aids cultural continuity and reinforces a strong sense of identity.",N/A,N/A
"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",China,"Chinese Zhusuan is a time-honoured traditional method of performing mathematical calculations with an abacus. Practitioners can perform addition, subtraction, multiplication, division, exponential multiplication, root and more complicated equations by moving beads along the abacus rods according to defined formulas. Chinese Zhusuan has played a vital role in giving an impetus to mathematical studies, promoting algorithmic practices and fostering intelligence. Zhusuan oral formulas have easy-to-learn rhymes that represent specific calculation rules and summarize the arithmetic operations. Beginners can make quick calculations after some fairly basic training, while proficient practitioners develop an agile mind. Zhusuan is widely used in Chinese life and is an important symbol of traditional Chinese culture, providing a strong sense of cultural identity. It has been handed down through generations by traditional methods of oral teaching and self-learning. Training in abacus-based mental arithmetic is thought to improve a child’s attention span, memory and mental capability. Today, it contributes to the advancement of calculating techniques, cognitive schemas, educational psychology and intellectual development. It also has a far-reaching influence in various fields of cultural creativity, including folk customs, language, literature, sculpture and architecture.",N/A,N/A
"Círio de Nazaré (The Taper of Our Lady of Nazareth) in the city of Belém, Pará",Brazil,"The Círio de Nazaré festival in Belém honours Our Lady of Nazareth. The main procession concludes the festivities on the second Sunday of October, when a wooden image of Our Lady of Nazareth is carried from Sé Cathedral to Sanctuary Square¬¬¬, but the celebrations start in August and run until fifteen days after the procession. Almost the entire city participates and vast numbers of pilgrims travel from across Brazil to attend what is one of the world’s largest religious gatherings. The celebration incorporates numerous cultural elements that reflect Brazil’s multicultural society, including Amazonian culture and cuisine, and crafts such as toys made of local palm wood. The blending of the sacred and the profane gives this event religious, aesthetic, touristic, social and cultural dimensions. Boats play a symbolic role in the procession as Our Lady of Nazareth is the patron saint of sailors. Devotees create small altars in their homes, shops, bars, markets and public institutions. Transmission occurs within families, with small children and teenagers accompanying their parents to the festivities. For many, the Círio is an annual homecoming; for others, it is a space for political demonstrations.",N/A,N/A
Commemoration feast of the finding of the True Holy Cross of Christ,Ethiopia,"The festival of Maskel is celebrated across Ethiopia on 26 September to commemorate the unearthing of the True Holy Cross of Christ. Celebrations begin with the building of the Damera bonfire in Maskel Square in Addis Ababa – a conical pyre of poles surrounded by bundles of branches and torches, decorated with green grass and Abyssinian daisies symbolizing the New Year. Hundreds of thousands of people from diverse communities flock to the square as colourfully dressed priests chant hymns and prayers and perform their unique rhythmic dance in front of the pyre. At the climax, the patriarch of the Ethiopian Orthodox Tewahedo Church lights the bonfire. Maskel is celebrated nationwide regardless of age, gender, language or ethnicity. Participants are believed to receive spiritual rewards from the celebration and blessings from the Holy Cross. Local churches play a key role in coordinating communities and safeguarding the element. The festival is also a time when families get together and migrant workers return home – reunions that result in the inflow of money, information and new ideas from urban centres to rural areas. Prior to the celebration, personal quarrels and social disagreements must be resolved. In this way, Maskel is an occasion for Ethiopians to promote their spiritual life through reconciliation, social cohesion and peaceful coexistence.",N/A,N/A
Feast of the Holy Forty Martyrs in Štip,North Macedonia,"The Feast of the Holy Forty Martyrs takes place every year on 22 March, honouring the fourth-century martyrs of Sebaste and marking the first day of spring. Participants gather on the streets and in the squares of Štip, and then hike up the Isar hill, stopping en route at the church to pay tribute to the Holy Forty Martyrs. During the climb – according to tradition – the participants must greet forty acquaintances and gather forty pebbles as well as forty flowers or twigs from the almond trees that grow nearby. On reaching the top, the participants make wishes and throw thirty-nine pebbles into the Bregalnica River below. The remaining pebble is kept and placed under the pillow before going to sleep. Musical bands play on the hill throughout the day. The feast is transmitted through parents hiking with their children, or older relatives and friends handing down the tradition to the younger generation. This spring event requires the selfless cooperation of many people from all age groups, social classes and backgrounds, thus promoting and encouraging teamwork and solidarity. The feast is also a way of bringing together the different religious and ethnic groups that live in Štip, thus perpetuating a sense of belonging to the city and its traditions.",N/A,N/A
"Kimjang, making and sharing kimchi in the Republic of Korea",Republic of Korea,"Kimchi is the Korean name for preserved vegetables seasoned with spices and fermented seafood. It forms an essential part of Korean meals, transcending class and regional differences. The collective practice of Kimjang reaffirms Korean identity and is an excellent opportunity for strengthening family cooperation. Kimjang is also an important reminder for many Koreans that human communities need to live in harmony with nature. Preparation follows a yearly cycle. In spring, households procure shrimp, anchovy and other seafood for salting and fermenting. In summer, they buy sea salt for the brine. In late summer, red chilli peppers are dried and ground into powder. Late autumn is Kimjang season, when communities collectively make and share large quantities of kimchi to ensure that every household has enough to sustain it through the long, harsh winter. Housewives monitor weather forecasts to determine the most favourable date and temperature for preparing kimchi. Innovative skills and creative ideas are shared and accumulated during the custom of exchanging kimchi among households. There are regional differences, and the specific methods and ingredients used in Kimjang are considered an important family heritage, typically transmitted from a mother-in-law to her newly married daughter-in-law.",N/A,N/A
"Knowledge, skills and rituals related to the annual renewal of the Q’eswachaka bridge",Peru,"The Q’eswachaka bridge is a rope suspension bridge over a gorge of the Apurimac River in the southern Andes. It is renewed every year, using traditional Inca techniques and raw materials. The Quechua-speaking peasant communities of Huinchiri, Chaupibanda, Choccayhua and Ccollana Quehue see it as a means of strengthening their social links and not simply as a transport route. The bridge is considered a sacred expression of the communities’ bond with nature, tradition and history, and the annual renewal is accompanied by ritual ceremonies. Although the renewal lasts only three days, it structures the life of the participating communities all year round, establishing communication, strengthening centuries-old bonds and reaffirming their cultural identity. The process begins with families cutting and twisting straw to form thin ropes about 70 m long. Two bridge-builders then guide the process of twisting them together to form medium-sized ropes, which are then braided to form six great ropes. When these are ready, men from the community tie the ropes tightly to ancient stone bases. The craftspeople then lead the weaving of the bridge, each starting from opposite ends. Once finished, the communities hold a celebratory festival. The techniques of bridge weaving are taught and learned within the family circle.",N/A,N/A
"Kyrgyz epic trilogy: Manas, Semetey, Seytek",Kyrgyzstan,"The Kyrgyz epic trilogy of Manas, Semetey and Seytek describes the unification of scattered tribes into one nation. The trilogy expresses the historical memory of the Kyrgyz people and survives thanks to a community of epic tellers, both women and men, of all ages. Narrators accept their calling after experiencing a prophetic dream, understood to be a sign from the heroes of the epic. During recitals they enter into a near-trance state and use special forms of narration, rhythm, tone and gestures to recreate the epic’s historical atmosphere. Continuous narration of the trilogy may last up to thirteen hours. Performances are held on various public occasions, from village events to national celebrations and holidays. Epic storytellers also provide moral and spiritual support to local communities and individuals during social events, conflicts or disasters. They consider the trilogy a cultural heritage for which they take personal responsibility. The trilogy helps young people to understand their own history and culture, the natural environment and the peoples of the world; it also provides them with a sense of identity. As a component of formal education, it promotes ideas of tolerance and multiculturalism. Transmission occurs orally from master to apprentice through non-formal education.",N/A,N/A
La Parranda de San Pedro de Guarenas y Guatire,Venezuela (Bolivarian Republic of),"Every year in the small towns of Guarenas and Guatire, devotees of San Pedro the Apostle celebrate his saint’s day with a series of popular festivities and rituals. An image of San Pedro is stored in all the town’s churches while the saint is celebrated with popular songs. Then, at midnight, a mass is held and the images are taken out and paraded through the streets. Central to the celebration is a re-enactment of the story of the slave María Ignacia, whose daughter was healed by the saint. Parranderos play key roles in the drama, wearing colourful, carefully prepared costumes representing the different characters, while other participants bear flags and banners, dance, play instruments, sing and improvise popular tunes. Women participate by preparing and training younger generations through workshops and by decorating the churches, dressing images of the saint and cooking traditional dishes. During the festival, the dancers, together with their families, neighbours and other community adults and children, gather to share moments of joy and togetherness. Every gathering serves to celebrate the spirit of the community, the energy and happiness of the dancers, and the vitality of a tradition that symbolizes and reasserts the struggle against injustice and inequality.",N/A,N/A
