Name,Precaution,valid,pages,touristvisa,vax,centry,cexit,code,Region,Climate,pop,Languages,Other languages,urban,Links
Lebanon,Level 3: Reconsider Travel,"Must be valid for ninety days following entry, with no Israeli stamps or visas",One page required for entry stamp,Yes,None,None,None,le,Middle East,"Mediterranean; mild to cool, wet winters with hot, dry summers; the Lebanon Mountains experience heavy winter snows",6100075,"Arabic  (official), French, English, Armenian",,2.385 million BEIRUT (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LE-flag.gif
Lesotho,Level 1: Exercise Normal Precautions,Must be valid at time of entry; 3 months of remaining validity suggested,One page per entry stamp,Not required if stay is less than 180 days,Yellow fever if traveling from or through a yellow fever endemic country.,None,None,lt,Africa,"temperate; cool to cold, dry winters; hot, wet summers",1962461,"Sesotho (official)  (southern Sotho), English  (official), Zulu, Xhosa",,"202,000 MASERU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LT-flag.gif
Liberia,Level 1: Exercise Normal Precautions,Valid at time of entry,One page per entry,Yes,Yellow fever,"Report more than $10,000","No more than $7,500 at one time",li,Africa,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers",4809768,"English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence",,1.418 million MONROVIA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LI-flag.gif
Libya,Level 4: Do Not Travel,Valid at time of entry,One page per entry stamp,Yes,None,The import of local currency for both residents and non-residents is prohibited.,The export of local currency for both residents and non-residents is prohibited.,ly,Africa,"Mediterranean along coast; dry, extreme desert interior",6754507,"Arabic (official), Italian, English (all widely understood in the major cities); Berber (Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq)",,"1.158 million TRIPOLI (capital), 799,000 Benghazi, 801,000 Misratah",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LY-flag.gif
Lithuania,Level 1: Exercise Normal Precautions,6 months recommended,1 page per stamp,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",lh,Europe,"transitional, between maritime and continental; wet, moderate winters and summers",2793284,"Lithuanian (official) 82%, Russian 8%, Polish 5.6%, other 0.9%, unspecified 3.5%
        (2011 est.)",,"536,000 VILNIUS (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LH-flag.gif
Luxembourg,Level 1: Exercise Normal Precautions,6 months is recommended in the Schengen area,1 page per stamp,Not required for stays less than 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",lu,Europe,"modified continental with mild winters, cool summers",605764,"Luxembourgish (official administrative and judicial language and national language (spoken vernacular)) 55.8%, Portuguese 15.7%, French (official administrative, judicial, and legislative language) 12.1%, German (official administrative and judicial language) 3.1%, Italian 2.9%, English 2.1%, other 8.4%
        (2011 est.)",,"120,000 LUXEMBOURG (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LU-flag.gif
Macau,Level 1: Exercise Normal Precautions,One month beyond the intended period of stay,One page required for entry stamp,Not required for stays under 30 days,None,None,None,mc,Southeast Asia,"subtropical; marine with cool winters, warm summers",606340,"Cantonese 80.1%, Mandarin 5.5%, other Chinese dialects 5.3%, Tagalog 3%, English 2.8%, Portuguese 0.6%, other 2.8%
        (2016 est.)",note: Chinese and Portuguese are official languages,N/A,https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MC-flag.gif
Macedonia,Level 1: Exercise Normal Precautions,Six months beyond your planned stay recommended,One page required for entry stamp,Not for stays less than 90 days within a six month period,None,"10,000 Euros or equivalent must be declared","10,000 Euros or equivalent must be declared",,,,,,,,
Madagascar,Level 2: Exercise Increased Caution,6 months at the time of entry,3 pages,"Yes, available upon arrival","Yellow fever, if traveling from a yellow fever endemic country within 6 months of arrival",None,None,ma,Africa,"tropical along coast, temperate inland, arid in south",25683610,"French  (official), Malagasy  (official), English",,3.058 million ANTANANARIVO (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MA-flag.gif
Malawi,Level 1: Exercise Normal Precautions,6 months,One page for entry stamp,Yes,"Yellow fever, if arriving from a yellow fever country",Must declare foreign currency,"$3,000 ",mi,Africa,sub-tropical; rainy season (November to May); dry season (May to November),19842560,"English (official), Chichewa (common), Chinyanja, Chiyao, Chitumbuka, Chilomwe, Chinkhonde, Chingoni, Chisena, Chitonga, Chinyakyusa, Chilambya",,"1.03 million LILONGWE (capital), 879,000 Blantyre-Limbe",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MI-flag.gif
Malaysia,Level 1: Exercise Normal Precautions,Six months beyond date of arrival,One blank page required for entry stamp,Not required for stays of less than 90 days,None,"$10,000 or equivalent","$10,000 or equivalent",my,Southeast Asia,tropical; annual southwest (April to October) and northeast (October to February) monsoons,31809660,"Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai",note: Malaysia has 134 living languages - 112 indigenous languages and 22 non-indigenous languages; in East Malaysia there are several indigenous languages; most widely spoken are Iban and Kadazan,"7.564 million KUALA LUMPUR (capital), 983,000 Johor Bahru, 786,000 Ipoh",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MY-flag.gif
Maldives,Level 2: Exercise Increased Caution,Must be valid Must be valid for six months from expected date of departure from Maldives.,One page required for entry stamp,Visitor visa available at the airport for stays up to 30 days,Required for yellow fever if arriving from an infected area,None,None,mv,Asia,"tropical; hot, humid; dry, northeast monsoon (November to March); rainy, southwest monsoon (June to August)",392473,"Dhivehi  (official, dialect of Sinhala, script derived from Arabic), English  (spoken by most government officials)",,"177,000 MALE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MV-flag.gif
Mali,Level 4: Do Not Travel,Valid at the time of entry,1 page required for entry stamp,Yes,Yellow Fever,None,None,ml,Africa,"subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)",18429893,"French (official), Bambara 46.3%, Peuhl/Foulfoulbe 9.4%, Dogon 7.2%, Maraka/Soninke 6.4%, Malinke 5.6%, Sonrhai/Djerma 5.6%, Minianka 4.3%, Tamacheq 3.5%, Senoufo 2.6%, Bobo 2.1%, unspecified 0.7%, other 6.3%
        (2009 est.)",note: Mali has 13 national languages in addition to its official language,2.447 million BAMAKO (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ML-flag.gif
Malta,Level 1: Exercise Normal Precautions,Must be valid for at least three months beyond your planned date of departure from the Schengen area.,One page required for entry stamp,Not required for stays less than 90 days,None,Reciprocal to country of origin,"10,000 euros or equivalent",mt,Europe,"Mediterranean; mild, rainy winters; hot, dry summers",449043,"Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9%
        (2005 est.)",,"213,000 VALLETTA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MT-flag.gif
Marshall Islands,Level 1: Exercise Normal Precautions,Six Months,At least one blank page,Not for U.S. citizens,Cholera (required for those travelling from an infected area),"$10,000 ","$10,000 ",rm,Oceania,tropical; hot and humid; wet season May to November; islands border typhoon belt,75684,"Marshallese (official) 98.2%, other languages 1.8% (1999 census)","note: English (official), widely spoken as a second language","31,000 MAJURO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RM-flag.gif
Mauritania,Level 3: Reconsider Travel,Six months remaining validity upon entry.,One page required for entry stamp,"Yes, but can be obtained at airport on arrival.",Evidence of yellow fever vaccination required.,Local currency may not be imported.  See below,Local currency may not be exported.  See below,mr,Africa,"desert; constantly hot, dry, dusty",3840429,"Arabic  (official and national), Pular, Soninke, Wolof (all national languages), French","note: the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya",1.205 million NOUAKCHOTT (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MR-flag.gif
Mauritius,Level 1: Exercise Normal Precautions,Duration of stay,1 page,"No, tourist visa is granted upon arrival","Yellow fever, if traveling from a country with endemic yellow fever",None,None,mp,Africa,"tropical, modified by southeast trade winds; warm, dry winter (May to November); hot, wet, humid summer (November to May)",1364283,"Creole 86.5%, Bhojpuri 5.3%, French 4.1%, two languages 1.4%, other 2.6% (includes English, the official language of the National Assembly, which is spoken by less than 1% of the population), unspecified 0.1%
        (2011 est.)",,"149,000 PORT LOUIS (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MP-flag.gif
Mexico,Level 2: Exercise Increased Caution,Passport must be valid at time of entry,One page per stamp,"Yes, if visiting for more than 180 days",See Travelers’ Health section,"$10,000 ","$10,000 ",mx,North America,varies from tropical to desert,125959205,"Spanish only 92.7%, Spanish and indigenous languages 5.7%, indigenous only 0.8%, unspecified 0.8%
        (2005)","note: indigenous languages include various Mayan, Nahuatl, and other regional languages","21.581 million MEXICO CITY (capital), 5.023 million Guadalajara, 4.712 million Monterrey, 3.097 million Puebla, 2.354 million Toluca de Lerdo, 2.058 million Tijuana",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MX-flag.gif
Micronesia,Level 1: Exercise Normal Precautions,Six months,No requirement,Not required,"A valid international certificate of vaccination is required for travelers coming from a region infected with small pox, yellow fever, or cholera","You must declare amounts equivalent to $10,000 or above.",None,fm,Oceania,"tropical; heavy year-round rainfall, especially in the eastern islands; located on southern edge of the typhoon belt with occasionally severe damage",103643,"English  (official and common language), Chuukese, Kosrean, Pohnpeian, Yapese, Ulithian, Woleaian, Nukuoro, Kapingamarangi",,"7,000 PALIKIR (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/FM-flag.gif
Moldova,Level 1: Exercise Normal Precautions,6 months,1 page,Not required for stays of up to 90 days within a six-month period,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",md,Europe,"moderate winters, warm summers",3437720,"Moldovan/Romanian 80.2% (official) (56.7% identify their mother tongue as Moldovan, which is virtually the same as Romanian; 23.5% identify Romanian as their mother tongue), Russian 9.7%, Gagauz 4.2% (a Turkish language), Ukrainian 3.9%, Bulgarian 1.5%, Romani 0.3%, other 0.2% (2014 est.)",note: data represent mother tongue,"510,000 CHISINAU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MD-flag.gif
Mongolia,Level 1: Exercise Normal Precautions,Six months from date of entry,One page per stamp,"Not required for stays of fewer than 90 days. For stays of more than 30 days, register with Mongolian Immigration within seven days of arrival",None,None,None,mg,Asia,desert; continental (large daily and seasonal temperature ranges),3103428,"Mongolian 90% (official) (Khalkha dialect is predominant), Turkic, Russian
        (1999)",,1.52 million ULAANBAATAR (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MG-flag.gif
Montenegro,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One page required for entry stamp,Not required for stays under 90 days,None,"10,000 Euros (or equivalent) must be declared","10,000 Euros (or equivalent) must be declared",mj,Europe,"Mediterranean climate, hot dry summers and autumns and relatively cold winters with heavy snowfalls inland",614249,"Serbian 42.9%, Montenegrin (official) 37%, Bosnian 5.3%, Albanian 5.3%, Serbo-Croat 2%, other 3.5%, unspecified 4%
        (2011 est.)",,"177,000 PODGORICA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MJ-flag.gif
Montserrat,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,None,None,None,None,mh,Central America and the Caribbean,tropical; little daily or seasonal temperature variation,5315,English,,N/A,https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MH-flag.gif
Morocco,Level 2: Exercise Increased Caution,Must have at least six months of validity at time of entry,One page required for entry stamp,Not required for stays under 90 days,None,Declare large quantities at entry,Export of Moroccan currency is prohibited,mo,Africa,"Mediterranean, becoming more extreme in the interior",34314130,"Arabic (official), Berber languages (Tamazight (official), Tachelhit, Tarifit), French (often the language of business, government, and diplomacy)",note:Â  the proportion of Berber speakers is disputed,"3.684 million Casablanca, 1.847 million RABAT (capital), 1.184 million Fes, 1.116 million Tangier, 976,000 Marrakech, 888,000 Agadir",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MO-flag.gif
Mozambique,Level 1: Exercise Normal Precautions,6 months from entry into Mozambique,3 for visa and entry/exit stamps,Yes,Yellow Fever if endemic country recently visited (although sometimes applied more broadly to travelers from other places),"USD $5000 and 10,000 Mozambican Meticais (without declaration)","USD $5000 and 10,000 Mozambican Meticais (without declaration)",mz,Africa,tropical to subtropical,27233789,"Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 0.3%, unspecified 3.7%
        (2007 est.)",,"1.635 million Matola, 1.102 million MAPUTO (capital), 775,000 Nampula",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MZ-flag.gif
Namibia,Level 1: Exercise Normal Precautions,6 Months,6 Pages,"Yes, planeside visa available for tourists up to 90 days","Yellow fever, if traveling from a yellow fever endemic country",Not applicable,Not applicable,wa,Africa,"desert; hot, dry; rainfall sparse and erratic",2533224,"Oshiwambo languages 49.7%, Nama/Damara 11%, Kavango languages 10.4%, Afrikaans 9.4% (common language of most of the population and about 60% of the white population), Herero languages 9.2%, Zambezi languages 4.9%, English (official) 2.3%, other African languages 1.5%, other European languages .7%, other 1%
        (2016 est.)","note: Namibia has 13 recognized national languages, including 10 indigenous African languages and 3 Indo-European languages","404,000 WINDHOEK (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/WA-flag.gif
Nauru,Level 1: Exercise Normal Precautions,Three months,One page per stamp,Yes,None,Unlimited if declared on arrival,"Up to AUD $2,500; permit required for amounts exceeding AUD $2,500",nr,Oceania,tropical with a monsoonal pattern; rainy season (November to February),9692,"Nauruan 93% (official, a distinct Pacific Island language), English 2% (widely understood, spoken, and used for most government and commercial purposes), other 5% (includes I-Kiribati 2% and Chinese 2%)
        (2011 est.)","note: percentages represent main language spoken at home; Nauruan is spoken by 95% of the population, English by 66%, and other languages by 12%",N/A,https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NR-flag.gif
Nepal,Level 2: Exercise Increased Caution,Must have six months remaining validity or more at time of entry,At least one blank visa page (not endorsements page) required for entry visa,Yes,No requirements,"US$5,000; no pure, unworked gold up to 50 grams of gold jewelry, or 500 grams of silver","US $5,000",np,Asia,varies from cool summers and severe winters in north to subtropical summers and mild winters in south,29717587,"Nepali (official) 44.6%, Maithali 11.7%, Bhojpuri 6%, Tharu 5.8%, Tamang 5.1%, Newar 3.2%, Magar 3%, Bajjika 3%, Urdu 2.6%, Avadhi 1.9%, Limbu 1.3%, Gurung 1.2%, other 10.4%, unspecified 0.2%
        (2011 est.)",note: 123 languages reported as mother tongue in 2011 national census; many in government and business also speak English,1.33 million KATHMANDU (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NP-flag.gif
Netherlands,Level 2: Exercise Increased Caution,A passport must be valid for at least six months beyond planned date of departure from the Schengen area.,Two pages required for entry stamp,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",nl,Europe,temperate; marine; cool summers and mild winters,17151228,Dutch (official),"note: Frisian is an official language in Fryslan province; Frisian, Low Saxon, Limburgish, Romani, and Yiddish have protected status under the European Charter for Regional or Minority Languages; Dutch is the official language of the three special municipalities of the Caribbean Netherlands; English is a recognized regional language on Sint Eustatius and Saba; Papiamento is a recognized regional language on Bonaire","1.132 million AMSTERDAM (capital), 1.008 million Rotterdam",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NL-flag.gif
New Caledonia,Level 1: Exercise Normal Precautions,Six months,One page required for entry stamp,Not required for stays under 90 days per six months,None,"None if arriving from another EU member state. If arriving from a country outside the EU, amounts exceeding EUR 10,000 or the equivalent in another currency must be declared.","None if traveling directly to another EU member state. If travelling to a country outside the EU, amounts exceeding EUR 10,000 or the equivalent in another currency must be declared.",nc,Oceania,"tropical; modified by southeast trade winds; hot, humid",282754,"French  (official), 33 Melanesian-Polynesian dialects",,"198,000 NOUMEA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NC-flag.gif
New Zealand,Level 1: Exercise Normal Precautions,Three months beyond the planned date of departure from New Zealand,One page required for entry stamp,Not required for stays of less than three months,None,"If you bring 10,000 NZD or more in cash or foreign equivalent, you will be required to complete a Border Cash Report",None,nz,Oceania,temperate with sharp regional contrasts,4545627,"English (de facto official) 89.8%, Maori (de jure official) 3.5%, Samoan 2%, Hindi 1.6%, French 1.2%, Northern Chinese 1.2%, Yue 1%, other or not stated 20.5%, New Zealand Sign Language (de jure official)
        (2013 est.)",note: shares sum to 120.8% due to multiple responses on census,"1.557 million Auckland, 411,000 WELLINGTON (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NZ-flag.gif
Nicaragua,Level 3: Reconsider Travel,Length of stay,One page per stamp,"No (90 days or fewer). Tourist card at airport. See Entry, Exit & Visa Requirements below","Yellow fever (in some cases, see Entry Requirements section)","Must declare $10,000 USD or more in cash",None,nu,Central America and the Caribbean,"tropical in lowlands, cooler in highlands",6085213,"Spanish (official) 95.3%, Miskito 2.2%, Mestizo of the Caribbean coast 2%, other 0.5%
        (2005 est.)",note: English and indigenous languages found on the Caribbean coast,1.048 million MANAGUA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NU-flag.gif
Niger,Level 3: Reconsider Travel,Must be valid at time of entry,Two pages are required for entry stamp,Yes,Yellow fever vaccination required,None,None,ng,Africa,"desert; mostly hot, dry, dusty; tropical in extreme south",19866231,"French  (official), Hausa, Djerma",,1.214 million NIAMEY (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NG-flag.gif
Nigeria,Level 3: Reconsider Travel,N/A,N/A,N/A,N/A,N/A,N/A,ni,Africa,"varies; equatorial in south, tropical in center, arid in north",203452505,"English  (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages",,"13.463 million Lagos, 3.82 million Kano, 3.383 million Ibadan, 2.919 million ABUJA (capital), 2.343 million Port Harcourt, 1.628 million Benin City",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NI-flag.gif
North Korea,Level 4: Do Not Travel,1-3 months validity (North Korea requirement); 6 months validity (China requirement),Two pages are required for entry stamp,Yes,None,None,Not permissible to take Korean money out of the country,kn,Asia,"temperate, with rainfall concentrated in summer; long, bitter winters",25381085,Korean,,3.038 million PYONGYANG (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KN-flag.gif
Norway,Level 1: Exercise Normal Precautions,Six months recommended,Two pages,Not required for stays under 90 days,None,"25,000 Norwegian Kroner (or equivalent), not including traveler’s checks","25,000 Norwegian Kroner (or equivalent), without prior approval",no,Europe,"temperate along coast, modified by North Atlantic Current; colder interior with increased precipitation and colder summers; rainy year-round on west coast",5372191,"Bokmal Norwegian (official), Nynorsk Norwegian (official), small Sami- and Finnish-speaking minorities","note: Sami has three dialects: Lule, North Sami, and South Sami; Sami is an official language in nine municipalities in Norway's three northernmost counties: Finnmark, Nordland, and Troms",1.012 million OSLO (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/NO-flag.gif
Oman,Level 1: Exercise Normal Precautions,6 months,1 page per entry stamp,Yes,Yellow fever (when coming from an area with yellow fever outbreaks),"Declare amounts over 20,000 USD","Declare amounts over 20,000 USD",mu,Middle East,"dry desert; hot, humid along coast; hot, dry interior; strong southwest summer monsoon (May to September) in far south",4613241,"Arabic  (official), English, Baluchi, Urdu, Indian dialects",,1.447 million MUSCAT (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/MU-flag.gif
Pakistan,Level 3: Reconsider Travel,Six months beyond the date of arrival,Two blank pages are required for entry and exit stamps,Yes,"Polio vaccination within one year before travel may be required to exit Pakistan. See Entry, Exit & Visa Requirements below and our Health Abroad page for more information.",None,"Maximum $10,000",pk,Asia,"mostly hot, dry desert; temperate in northwest; arctic in north",207862518,"Punjabi 48%, Sindhi 12%, Saraiki (a Punjabi variant) 10%, Pashto (alternate name, Pashtu) 8%, Urdu (official) 8%, Balochi 3%, Hindko 2%, Brahui 1%, English (official; lingua franca of Pakistani elite and most government ministries), Burushaski, and other 8%",,"15.4 million Karachi, 11.738 million Lahore, 3.311 million Faisalabad, 2.156 million Rawalpindi, 2.11 million Gujranwala, 1.061 million ISLAMABAD (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PK-flag.gif
Palau,Level 1: Exercise Normal Precautions,6 months,At least 1 page per stamp,Not for tourists visiting for one year or less,Cholera and yellow fever vaccines required for visitors from affected area,"Amounts over 10,000.00 USD must be declared","Amounts over 10,000.00 USD must be declared",ps,Oceania,tropical; hot and humid; wet season May to November,21516,"Palauan (official on most islands) 65.2%, other Micronesian 1.9%, English (official) 19.1%, Filipino 9.9%, Chinese 1.2%, other 2.8%
        (2015 est.)",note: Sonsoralese is official in Sonsoral; Tobian is official in Tobi; Angaur and Japanese are official in Angaur,299 MELEKEOK (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PS-flag.gif
Panama,Level 1: Exercise Normal Precautions,3 months beyond date of arrival,1 page per stamp,No,Yellow fever for passengers entering from countries with endemic yellow fever,"$10,000 ","$10,000 ",pm,Central America and the Caribbean,"tropical maritime; hot, humid, cloudy; prolonged rainy season (May to January), short dry season (January to May)",3800644,"Spanish (official), indigenous languages  (including Ngabere (or Guaymi), Buglere, Kuna, Embera, Wounaan, Naso (or Teribe), and Bri Bri), Panamanian English Creole  (similar to Jamaican English Creole; a mixture of English and Spanish with elements of Ngabere; also known as Guari Guari and Colon Creole), English, Chinese  (Yue and Hakka), Arabic, French Creole, other  (Yiddish, Hebrew, Korean, Japanese)",note: many Panamanians are bilingual,1.783 million PANAMA CITY (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PM-flag.gif
Papua New Guinea,Level 2: Exercise Increased Caution,6 months.,One blank page is required.,Available upon arrival at the international airport for stays of fewer than 60 days.,"None required. U.S. Centers for Disease Control and Prevention strongly recommends polio vaccinations, along with boosters for adults, for travel to Papua New Guinea. Vaccinations and boosters may be required for travel to Australia after extended stays i","More than PGK 10,000 must be declared.","More than PGK 10,000 must be declared.",pp,Oceania,"tropical; northwest monsoon (December to March), southeast monsoon (May to October); slight seasonal temperature variation",7027332,"Tok Pisin (official), English (official), Hiri Motu (official), some 839 indigenous languages spoken (about 12% of the world's total); many languages have fewer than 1,000 speakers","note: Tok Pisin, a creole language, is widely used and understood; English is spoken by 1%-2%; Hiri Motu is spoken by less than 2%","367,000 PORT MORESBY (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PP-flag.gif
Paraguay,Level 1: Exercise Normal Precautions,Must be valid at time of entry,One requested for entry stamp,Yes,None,None,None,pa,South America,"subtropical to temperate; substantial rainfall in the eastern portions, becoming semiarid in the far west",7025763,"Spanish (official) and Guarani (official) 46.3%, only Guarani 34%, only Spanish 15.2%, other (includes Portuguese, German, other indigenous languages) 4.1% , no response .4%
        (2012 est.)",note: data represent predominant household language,3.222 million ASUNCION (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PA-flag.gif
Peru,Level 1: Exercise Normal Precautions,Must have six months validity at time of entry,One page required for entry stamp,"Free, issued at the port of entry",Yellow fever vaccination is recommended,"USD 30,000. More than USD 10,000 must be declared upon entry",Same as entry,pe,South America,varies from tropical in east to dry desert in west; temperate to frigid in Andes,31331228,"Spanish (official) 82.9%, Quechua (official) 13.6%, Aymara (official) 1.6%, Ashaninka 0.3%, other native languages (includes a large number of minor Amazonian languages) 0.8%, other (includes foreign languages and sign language) 0.2%, none .1%, unspecified .7%
        (2017 est.)",,"10.391 million LIMA (capital), 900,000 Arequipa, 838,000 Trujillo",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PE-flag.gif
Philippines,Level 2: Exercise Increased Caution,Must be valid at time of entry,Sufficient space for an entry visa stamp,Not required for stays under 30 days,Required for travelers from countries with yellow fever,"50,000 pesos/$10,000","50,000 pesos/$10,000",rp,Southeast Asia,tropical marine; northeast monsoon (November to April); southwest monsoon (May to October),105893381,"unspecified  Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan",,"13.482 million MANILA (capital), 1.745 million Davao, 956,000 Cebu City, 894,000 Zamboanga, 837,000 Antipolo",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RP-flag.gif
Poland,Level 1: Exercise Normal Precautions,Six months remaining validity strongly recommended; at least three months remaining validity beyond planned departure from the Schengen area is required,None,Not required for stays under 90 days,None,"10,000 euros","10,000 euros",pl,Europe,"temperate with cold, cloudy, moderately severe winters with frequent precipitation; mild summers with frequent showers and thundershowers",38420687,"Polish (official) 98.2%, Silesian 1.4%, other 1.1%, unspecified 1.3%
        (2011 est.)","note: data represents the language spoken at home; shares sum to more than 100% because some respondents gave more than one answer on the census; Poland ratified the European Charter for Regional or Minority Languages in 2009 recognizing Kashub as a regional language, Czech, Hebrew, Yiddish, Belarusian, Lithuanian, German, Armenian, Russian, Slovak, and Ukrainian as national minority languages, and Karaim, Lemko, Romani (Polska Roma and Bergitka Roma), and Tatar as ethnic minority languages","1.768 million WARSAW (capital), 767,000 Krakow",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PL-flag.gif
Portugal,Level 1: Exercise Normal Precautions,6 months beyond the intended date of departure,2 pages per stamp,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",po,Europe,"maritime temperate; cool and rainy in north, warmer and drier in south",10355493,"Portuguese (official), Mirandese (official, but locally used)",,"2.927 million LISBON (capital), 1.307 million Porto",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PO-flag.gif
Qatar,Level 1: Exercise Normal Precautions,6 months,Minimum of 2,Yes,None,None,None,qa,Middle East,"arid; mild, pleasant winters; very hot, humid summers",2363569,"Arabic (official), English  commonly used as a second language",,"633,000 DOHA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/QA-flag.gif
Republic of the Congo,Level 2: Exercise Increased Caution,6 months,1 page,"Yes, obtain in advance",Yellow fever,"Not to exceed 5 million CFA ($10,000)",Declare CFA over 1 million,cf,Africa,tropical; rainy season (March to June); dry season (June to October); persistent high temperatures and humidity; particularly enervating climate astride the Equator,5062021,"French  (official), French  Lingala and Monokutuba (lingua franca trade languages), many local languages and dialects (of which Kikongo is the most widespread)",,"2.23 million BRAZZAVILLE (capital), 1.138 million Pointe-Noire",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CF-flag.gif
Romania,Level 1: Exercise Normal Precautions,Three months beyond departure date. We recommend a minimum of six months validity after entry date,One page per stamp,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",ro,Europe,"temperate; cold, cloudy winters with frequent snow and fog; sunny summers with frequent showers and thunderstorms",21457116,"Romanian (official) 85.4%, Hungarian 6.3%, Romani 1.2%, other 1%, unspecified 6.1%
        (2011 est.)",,1.821 million BUCHAREST (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/RO-flag.gif
