Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Historic Monuments Zone of Tlacotalpan,Mexico,"Tlacotalpan, a Spanish colonial river port on the Gulf coast of Mexico, was founded in the mid-16th century. It has preserved its original urban fabric to a remarkable degree, with wide streets, colonnaded houses in a profusion of styles and colours, and many mature trees in the public open spaces and private gardens.",N18 36 30 W95 39 30,"State of Veracruz, Tlacotalpan Municipality",1998,(ii)(iv)
Archaeological Monuments Zone of Xochicalco,Mexico,"Xochicalco is an exceptionally well-preserved example of a fortified political, religious and commercial centre from the troubled period of 650–900 that followed the break-up of the great Mesoamerican states such as Teotihuacan, Monte Albán, Palenque and Tikal.",N18 48 37.008 W99 16 30,"Municipalities of Temixco and 

Miacatlan, Morelos State",1999,(iii)(iv)
Historic Fortified Town of Campeche,Mexico,"Campeche is a typical example of a harbour town from the Spanish colonial period in the New World. The historic centre has kept its outer walls and system of fortifications, designed to defend this Caribbean port against attacks from the sea.",N19 50 47.004 W90 32 13.992,State of Campeche,1999,(ii)(iv)
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",Mexico,"The site is located in the central/southern portion of the Yucatán Peninsula, in southern Mexico and includes the remains of the important Maya city Calakmul, set deep in the tropical forest of the Tierras Bajas. The city played a key role in the history of this region for more than twelve centuries and is characterized by well-preserved structures providing a vivid picture of life in an ancient Maya capital. The property also falls within the Mesoamerica biodiversity hotspot, the third largest in the world, encompassing all subtropical and tropical ecosystems from central Mexico to the Panama Canal.",N18 3 10.9 W89 44 14.22,N/A,2002,(i)(ii)(iii)(iv)(ix)(x)
Franciscan Missions in the Sierra Gorda of Querétaro,Mexico,"The five Franciscan missions of Sierra Gorda were built during the last phase of the conversion to Christianity of the interior of Mexico in the mid-18th century and became an important reference for the continuation of the evangelization of California, Arizona and Texas. The richly decorated church façades are of special interest as they represent an example of the joint creative efforts of the missionaries and the Indios. The rural settlements that grew around the missions have retained their vernacular character.",N21 12 15.8 W99 27 50.8,State of Querétaro de Arteaga (Sierra Gorda region),2003,(ii)(iii)
Luis Barragán House and Studio,Mexico,"Built in 1948, the House and Studio of architect Luis Barragán in the suburbs of Mexico City represents an outstanding example of the architect’s creative work in the post-Second World War period. The concrete building, totalling 1,161 m2, consists of a ground floor and two upper storeys, as well as a small private garden. Barragán’s work integrated modern and traditional artistic and vernacular currents and elements into a new synthesis, which has been greatly influential, especially in the contemporary design of gardens, plazas and landscapes.",N19 25 6 W99 11 54,Mexico City,2004,(i)(ii)
Islands and Protected Areas of the Gulf of California,Mexico,"The site comprises 244 islands, islets and coastal areas that are located in the Gulf of California in north-eastern Mexico. The Sea of Cortez and its islands have been called a natural laboratory for the investigation of speciation. Moreover, almost all major oceanographic processes occurring in the planet’s oceans are present in the property, giving it extraordinary importance for study. The site is one of striking natural beauty in a dramatic setting formed by rugged islands with high cliffs and sandy beaches, which contrast with the brilliant reflection from the desert and the surrounding turquoise waters. It is home to 695 vascular plant species, more than in any marine and insular property on the World Heritage List. Equally exceptional is the number of fish species: 891, 90 of them endemic. The site, moreover, contains 39% of the world’s total number of species of marine mammals and a third of the world’s marine cetacean species.",N27 37 36.012 W112 32 44.988,"States of Baja California, Baja California Sur, Sonora, Sinaloa, and Nayarit",2005,(vii)(ix)(x)
Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,"The 34,658 ha site, between the foothills of the Tequila Volcano and the deep valley of the Rio Grande River, is part of an expansive landscape of blue agave, shaped by the culture of the plant used since the 16th century to produce tequila spirit and for at least 2,000 years to make fermented drinks and cloth. Within the landscape are working distilleries reflecting the growth in the international consumption of tequila in the 19th and 20th centuries. Today, the agave culture is seen as part of national identity. The area encloses a living, working landscape of blue agave fields and the urban settlements of Tequila, Arenal, and Amatitan with large distilleries where the agave ‘pineapple' is fermented and distilled. The property is also a testimony to the Teuchitlan cultures which shaped the Tequila area from AD 200-900, notably through the creation of terraces for agriculture, housing, temples, ceremonial mounds and ball courts.",N20 51 47 W103 46 43,"Valles Region, Jalisco State",2006,(ii)(iv)(v)(vi)
Central University City Campus of the Universidad Nacional Autónoma de México (UNAM),Mexico,"The ensemble of buildings, sports facilities and open spaces of the Central University City Campus of the Universidad Nacional Autónoma de México (UNAM), was built from 1949 to 1952 by more than 60 architects, engineers and artists who were involved in the project. As a result, the campus constitutes a unique example of 20th-century modernism integrating urbanism, architecture, engineering, landscape design and fine arts with references to local traditions, especially to Mexico’s pre-Hispanic past. The ensemble embodies social and cultural values of universal significance and is one of the most significant icons of modernity in Latin America.",N19 19 56 W99 11 17,Mexico City,2007,(i)(ii)(iv)
Central University City Campus of the Universidad Nacional Autónoma de México (UNAM),Mexico,"The ensemble of buildings, sports facilities and open spaces of the Central University City Campus of the Universidad Nacional Autónoma de México (UNAM), was built from 1949 to 1952 by more than 60 architects, engineers and artists who were involved in the project. As a result, the campus constitutes a unique example of 20th-century modernism integrating urbanism, architecture, engineering, landscape design and fine arts with references to local traditions, especially to Mexico’s pre-Hispanic past. The ensemble embodies social and cultural values of universal significance and is one of the most significant icons of modernity in Latin America.",N19 19 56 W99 11 17,Mexico City,2007,(i)(ii)(iv)
Central University City Campus of the Universidad Nacional Autónoma de México (UNAM),Mexico,"The ensemble of buildings, sports facilities and open spaces of the Central University City Campus of the Universidad Nacional Autónoma de México (UNAM), was built from 1949 to 1952 by more than 60 architects, engineers and artists who were involved in the project. As a result, the campus constitutes a unique example of 20th-century modernism integrating urbanism, architecture, engineering, landscape design and fine arts with references to local traditions, especially to Mexico’s pre-Hispanic past. The ensemble embodies social and cultural values of universal significance and is one of the most significant icons of modernity in Latin America.",N19 19 56 W99 11 17,Mexico City,2007,(i)(ii)(iv)
Monarch Butterfly Biosphere Reserve,Mexico,"The 56,259 ha biosphere lies within rugged forested mountains about 100 km northwest of Mexico City. Every autumn, millions, perhaps a billion, butterflies from wide areas of North America return to the site and cluster on small areas of the forest reserve, colouring its trees orange and literally bending their branches under their collective weight. In the spring, these butterflies begin an 8 month migration that takes them all the way to Eastern Canada and back, during which time four successive generations are born and die. How they find their way back to their overwintering site remains a mystery.",N19 36 23 W100 14 30,N/A,2008,(vii)
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,Mexico,"The fortified town, first established in the 16th century to protect the Royal Route inland, reached its apogee in the 18th century when many of its outstanding religious and civic buildings were built in the style of the Mexican Baroque. Some of these buildings are masterpieces of the style that evolved in the transition from Baroque to neoclassical. Situated 14 km from the town, the Jesuit sanctuary, also dating from the 18th century, is one of the finest examples of Baroque art and architecture in the New Spain. It consists of a large church, and several smaller chapels, all decorated with oil paintings by Rodriguez Juárez and mural paintings by Miguel Antonio Martínez de Pocasangre. Because of its location, San Miguel de Allende acted as a melting pot where Spaniards, Creoles and Amerindians exchanged cultural influences while the Sanctuary of Jesús Nazareno de Atotonilco constitutes an exceptional example of the exchange between European and Latin American cultures. Its architecture and interior decoration testify to the influence of Saint Ignacio de Loyola’s doctrine.",N20 54 52 W100 44 47,Guanajuato Region,2008,(ii)(iv)
Camino Real de Tierra Adentro,Mexico,"Camino Real de Tierra Adentro was the Royal Inland Road, also known as the Silver Route. The inscribed property consists of 55 sites and five existing World Heritage sites lying along a 1400 km section of this 2600 km route, that extends north from Mexico City to Texas and New Mexico, United States of America. The route was actively used as a trade route for 300 years, from the mid-16th to the 19th centuries, mainly for transporting silver extracted from the mines of Zacatecas, Guanajuato and San Luis Potosí, and mercury imported from Europe. Although it is a route that was motivated and consolidated by the mining industry, it also fostered the creation of social, cultural and religious links in particular between Spanish and Amerindian cultures.",N22 36 29 W102 22 45,N/A,2010,(ii)(iv)
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,Mexico,"This property lies on the northern slopes of the Tlacolula valley in subtropical central Oaxaca and consists of two pre-Hispanic archaeological complexes and a series of pre-historic caves and rock shelters. Some of these shelters provide archaeological and rock-art evidence for the progress of nomadic hunter-gathers to incipient farmers. Ten thousand-year-old Cucurbitaceae seeds in one cave, Guilá Naquitz, are considered to be the earliest known evidence of domesticated plants in the continent, while corn cob fragments from the same cave are said to be the earliest documented evidence for the domestication of maize. The cultural landscape of the Prehistoric Caves of Yagul and Mitla demonstrates the link between man and nature that gave origin to the domestication of plants in North America, thus allowing the rise of Mesoamerican civilizations.",N16 57 3 W96 25 16,N/A,2010,(iii)
El Pinacate and Gran Desierto de Altar Biosphere Reserve,Mexico,"The 714,566 hectare site comprises two distinct parts: the dormant volcanic Pinacate Shield of black and red lava flows and desert pavements to the east, and, in the west, the Gran Altar Desert with its ever changing and varied sand dunes that can reach a height of 200 metres. This landscape of dramatic contrast notably features linear, star and dome dunes as well as several arid granite massifs, some as high as 650 metres. The dunes emerge like islands from the sea of sand and harbour distinct and highly diverse plant and wildlife communities, including endemic freshwater fish species and the endemic Sonoran Pronghorn, which is only to be found in northwestern Sonora and in southwestern Arizona (USA). Ten enormous, deep and almost perfectly circular craters, believed to have been formed by a combination of eruptions and collapses, also contribute to the dramatic beauty of the site whose exceptional combination of features are of great scientific interest. The site is also a UNESCO Biosphere Reserve.",N32 0 0 W113 55 0,N/A,2013,(vii)(viii)(x)
Aqueduct of Padre Tembleque Hydraulic System,Mexico,"This 16th century aqueduct is located between the states of Mexico and Hidalgo, on the Central Mexican Plateau. This heritage canal system encompasses a water catchment area, springs, canals, distribution tanks and arcaded aqueduct bridges. The site incorporates the highest single-level arcade ever built in an aqueduct. Initiated by the Franciscan friar, Padre Tembleque, and built with support from the local indigenous communities, this hydraulic system is an example of the exchange of influences between the European tradition of Roman hydraulics and traditional Mesoamerican construction techniques, including the use of adobe.",N19 50 7 W98 39 45.24,N19 50 07 W98 39 45.24,2015,(i)(ii)(iv)
Archipiélago de Revillagigedo,Mexico,"Located in the eastern Pacific Ocean, this archipelago is made up of four remote islands and their surrounding waters: San Benedicto, Socorro, Roca Partida and Clarión. This archipelago is part of a submerged mountain range, with the four islands representing the peaks of volcanoes emerging above sea level. The islands provide critical habitat for a range of wildlife and are of particular importance for seabirds. The surrounding waters have a remarkable abundance of large pelagic species, such as manta rays, whales, dolphins and sharks. ",N18 47 17 W110 58 31,N/A,2016,(vii)(ix)(x)
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,Mexico,"Tehuacán-Cuicatlán Valley, part of the Mesoamerican region, is the arid or semi-arid zone with the richest biodiversity in all of North America. Consisting of three components, Zapotitlán-Cuicatlán, San Juan Raya and Purrón, it is one of the main centres of diversification for the cacti family, which is critically endangered worldwide. The valley harbours the densest forests of columnar cacti in the world, shaping a unique landscape that also includes agaves, yuccas and oaks. Archaeological remains demonstrate technological developments and the early domestication of crops. The valley presents an exceptional water management system of canals, wells, aqueducts and dams, the oldest in the continent, which has allowed for the emergence of agricultural settlements.",N17 59 23.86 W97 11 13.75,N/A,2018,(iv)(x)
Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),"Nan Madol is a series of more than 100 islets off the south-east coast of Pohnpei that were constructed with walls of basalt and coral boulders. These islets harbour the remains of stone palaces, temples, tombs and residential domains built between 1200 and 1500 CE. These ruins represent the ceremonial centre of the Saudeleur dynasty, a vibrant period in Pacific Island culture. The huge scale of the edifices, their technical sophistication and the concentration of megalithic structures bear testimony to complex social and religious practices of the island societies of the period. The site was also inscribed on the List of World Heritage in Danger due to threats, notably the siltation of waterways that is contributing to the unchecked growth of mangroves and undermining existing edifices.",N6 50 23 E158 19 51,N/A,2016,(i)(iii)(iv)(vi)
Uvs Nuur Basin,"Mongolia, Russian Federation","The Uvs Nuur Basin (1,068,853 ha), is the northernmost of the enclosed basins of Central Asia. It takes its name from Uvs Nuur Lake, a large, shallow and very saline lake, important for migrating birds, waterfowl and seabirds. The site is made up of twelve protected areas representing the major biomes of eastern Eurasia. The steppe ecosystem supports a rich diversity of birds and the desert is home to a number of rare gerbil, jerboas and the marbled polecat. The mountains are an important refuge for the globally endangered snow leopard, mountain sheep (argali) and the Asiatic ibex.",N50 16 30 E92 43 11,"Uvs Aimag, Zavhan Aimag, Huvsgul Aimag (Mongolia); Mongun-Taiga Kojuun, Ovur Kojuun, Tes-Khem Kojuun, Ersin Kojuun (Tuva)",2003,(ix)(x)
Orkhon Valley Cultural Landscape,Mongolia,"The 121,967-ha Orkhon Valley Cultural Landscape encompasses an extensive area of pastureland on both banks of the Orkhon River and includes numerous archaeological remains dating back to the 6th century. The site also includes Kharkhorum, the 13th- and 14th-century capital of Chingis (Genghis) Khan’s vast Empire. Collectively the remains in the site reflect the symbiotic links between nomadic, pastoral societies and their administrative and religious centres, and the importance of the Orkhon valley in the history of central Asia. The grassland is still grazed by Mongolian nomadic pastoralists.",N47 33 24 E102 49 53,Orkhon-Kharkorin Region,2004,(ii)(iii)(iv)
Petroglyphic Complexes of the Mongolian Altai,Mongolia,"The numerous rock carvings and funerary monuments found in these three sites illustrate the development of culture in Mongolia over a period of 12,000 years. The earliest images reflect a time (11,000 - 6,000 BC) when the area was partly forested and the valley provided a habitat for hunters of large game. Later images show the transition to herding as the dominant way of life. The most recent images show the transition to a horse-dependent nomadic lifestyle during the early 1st millennium BC, the Scythian period and the later Turkic period (7th and 8th centuries AD). The carvings contribute valuably to our understanding of pre-historic communities in northern Asia.",N49 20 2 E88 23 43,N/A,2011,(iii)
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,Mongolia,"The site is situated in the north-east of the country in the central part of the Khentii mountain chain where the vast Central Asian steppe meets the coniferous forests of the Siberian taiga. Burkhan Khaldun is associated with the worship of sacred mountains, rivers and ",N48 45 43.12 E109 0 33.58,N/A,2015,(iv)(vi)
Landscapes of Dauria,"Mongolia, Russian Federation","Shared between Mongolia and the Russian Federation, this site is an outstanding example of the Daurian Steppe eco-region, which extends from eastern Mongolia into Russian Siberia and northeastern China. Cyclical climate changes, with distinct dry and wet periods lead to a wide diversity of species and ecosystems of global significance. The different types of steppe ecosystems represented, such as grassland and forest, as well as lakes and wetlands serve as habitats for rare species of fauna, such as the White-naped crane, Great Bustard, Relict Gull and Swan goose, as well as millions of vulnerable, endangered or threatened migratory birds. It is also a critical site on the transboundary migration path for the Mongolian gazelle.",N49 55 48.8 E115 25 31.6,N/A,2017,(ix)(x)
Natural and Culturo-Historical Region of Kotor,Montenegro,"In the Middle Ages, this natural harbour on the Adriatic coast in Montenegro was an important artistic and commercial centre with its own famous schools of masonry and iconography. A large number of the monuments (including four Romanesque churches and the town walls) were seriously damaged by the 1979 earthquake but the town has been restored, largely with UNESCO’s help.",N42 28 59.988 E18 41 60,"Boka Kotorska (Bay of Kotor), City of Kotor and surrounding territory, Republic of Montenegro",1979,(i)(ii)(iii)(iv)
Durmitor National Park,Montenegro,"This breathtaking national park was formed by glaciers and is traversed by rivers and underground streams. Along the Tara river canyon, which has the deepest gorges in Europe, the dense pine forests are interspersed with clear lakes and harbour a wide range of endemic flora.",N43 7 58.8 E19 0 59.76,Republic of Montenegro,1980,(vii)(viii)(x)
Stećci Medieval Tombstone Graveyards,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia","This serial property combines 28 sites, located in Bosnia and Herzegovina, western Serbia, western Montenegro and central and southern Croatia, representing these cemeteries and regionally distinctive medieval tombstones, or stećci. The cemeteries, which date from the 12th to 16th centuries CE, are laid out in rows, as was the common custom in Europe from the Middle Ages. The stećci are mostly carved from limestone. They feature a wide range of decorative motifs and inscriptions that represent iconographic continuities within medieval Europe as well as locally distinctive traditions.",N43 5 31.97 E17 55 26.59,N/A,2016,(iii)(vi)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Medina of Fez,Morocco,"Founded in the 9th century and home to the oldest university in the world, Fez reached its height in the 13th–14th centuries under the Marinids, when it replaced Marrakesh as the capital of the kingdom. The urban fabric and the principal monuments in the medina – madrasas, fondouks, palaces, residences, mosques and fountains - date from this period. Although the political capital of Morocco was transferred to Rabat in 1912, Fez has retained its status as the country's cultural and spiritual centre.",N34 3 39.996 W4 58 40.008,City of Fez,1981,(ii)(v)
Medina of Marrakesh,Morocco,"Founded in 1070–72 by the Almoravids, Marrakesh remained a political, economic and cultural centre for a long period. Its influence was felt throughout the western Muslim world, from North Africa to Andalusia. It has several impressive monuments dating from that period: the Koutoubiya Mosque, the Kasbah, the battlements, monumental doors, gardens, etc. Later architectural jewels include the Bandiâ Palace, the Ben Youssef Madrasa, the Saadian Tombs, several great residences and Place Jamaâ El Fna, a veritable open-air theatre.",N31 37 53.004 W7 59 12.012,Province of Marrakesh,1985,(i)(ii)(iv)(v)
Ksar of Ait-Ben-Haddou,Morocco,"The ksar, a group of earthen buildings surrounded by high walls, is a traditional pre-Saharan habitat. The houses crowd together within the defensive walls, which are reinforced by corner towers. Ait-Ben-Haddou, in Ouarzazate province, is a striking example of the architecture of southern Morocco.",N31 2 49.992 W7 7 44.004,N/A,1987,(iv)(v)
Historic City of Meknes,Morocco,"Founded in the 11th century by the Almoravids as a military settlement, Meknes became a capital under Sultan Moulay Ismaïl (1672–1727), the founder of the Alawite dynasty. The sultan turned it into a impressive city in Spanish-Moorish style, surrounded by high walls with great doors, where the harmonious blending of the Islamic and European styles of the 17th century Maghreb are still evident today.",N33 52 59.988 W5 33 29.988,"region centre sud, Wilaya de Meknes",1996,(iv)
Archaeological Site of Volubilis,Morocco,"The Mauritanian capital, founded in the 3rd century B.C., became an important outpost of the Roman Empire and was graced with many fine buildings. Extensive remains of these survive in the archaeological site, located in a fertile agricultural area. Volubilis was later briefly to become the capital of Idris I, founder of the Idrisid dynasty, who is buried at nearby Moulay Idris.",N34 4 26.004 W5 33 24.984,Wilaya de Meknès - Province Meknès El Menzeh Meulay-Idriss Zerhoun,1997,(ii)(iii)(iv)(vi)
Medina of Tétouan (formerly known as Titawin),Morocco,"Tétouan was of particular importance in the Islamic period, from the 8th century onwards, since it served as the main point of contact between Morocco and Andalusia. After the Reconquest, the town was rebuilt by Andalusian refugees who had been expelled by the Spanish. This is well illustrated by its art and architecture, which reveal clear Andalusian influence. Although one of the smallest of the Moroccan medinas, Tétouan is unquestionably the most complete and it has been largely untouched by subsequent outside influences.",N35 34 14.988 W5 22 0.012,"Region Nord-Ouest, Wilaya de Tétouan, Province of Tétouan, Medina of Tétouan",1997,(ii)(iv)(v)
Medina of Essaouira (formerly Mogador),Morocco,"Essaouira is an exceptional example of a late-18th-century fortified town, built according to the principles of contemporary European military architecture in a North African context. Since its foundation, it has been a major international trading seaport, linking Morocco and its Saharan hinterland with Europe and the rest of the world.",N31 30 50.8 W9 46 13.1,"Province of Essaouira, Tensift Region",2001,(ii)(iv)
Portuguese City of Mazagan (El Jadida),Morocco,"The Portuguese fortification of Mazagan, now part of the city of El Jadida, 90-km southwest of Casablanca, was built as a fortified colony on the Atlantic coast in the early 16th century. It was taken over by the Moroccans in 1769. The fortification with its bastions and ramparts is an early example of Renaissance military design. The surviving Portuguese buildings include the cistern and the Church of the Assumption, built in the Manueline style of late Gothic architecture. The Portuguese City of Mazagan - one of the early settlements of the Portuguese explorers in West Africa on the route to India - is an outstanding example of the interchange of influences between European and Moroccan cultures, well reflected in architecture, technology, and town planning.",N33 15 24.012 W8 30 6.984,N/A,2004,(ii)(iv)
"Rabat, Modern Capital and Historic City: a Shared Heritage",Morocco,"Located on the Atlantic coast in the north-west of Morocco, the site is the product of a fertile exchange between the Arabo-Muslim past and Western modernism. The inscribed city encompasses the new town conceived and built under the French Protectorate from 1912 to the 1930s, including royal and administrative areas, residential and commercial developments and the Jardins d’Essais botanical and pleasure gardens. It also encompasses older parts of the city dating back to the 12thcentury. The new town is one of the largest and most ambitious modern urban projects built in Africa in the 20th century and probably the most complete. The older parts include Hassan Mosque (begun in 1184) and the Almohad ramparts and gates, the only surviving parts of the project for a great capital city of the Almohad caliphate as well as remains from the Moorish, or Andalusian, principality of the 17thcentury.",N34 1 27 W6 49 22,N/A,2012,(ii)(iv)
Island of Mozambique,Mozambique,"The fortified city of Mozambique is located on this island, a former Portuguese trading-post on the route to India. Its remarkable architectural unity is due to the consistent use, since the 16th century, of the same building techniques, building materials (stone or macuti) and decorative principles.",S15 2 3.012 E40 44 8.988,"Ilha de Mocambique District, Nampula Province",1991,(iv)(vi)
Pyu Ancient Cities,Myanmar,"Pyu Ancient Cities includes the remains of three brick, walled and moated cities of Halin, Beikthano and Sri Ksetra located in vast irrigated landscapes in the dry zone of the Ayeyarwady (Irrawaddy) River basin. They reflect the Pyu Kingdoms that flourished for over 1,000 years between 200 BC and AD 900. The three cities are partly excavated archaeological sites. Remains include excavated palace citadels, burial grounds and manufacture sites, as well as monumental brick Buddhist stupas, partly standing walls and water management features – some still in use – that underpinned the organized intensive agriculture.",N22 28 12 E95 49 7,N/A,2014,(ii)(iii)(iv)
Twyfelfontein or /Ui-//aes,Namibia,"Twyfelfontein or /Ui-//aes has one of the largest concentrations of [...] petroglyphs, i.e. rock engravings in Africa. Most of these well-preserved engravings represent rhinoceros, . The site also includes six painteelephant, ostrich and giraffe, as well as drawings of human and animal footprintsd rock shelters with motifs of human figures in red ochre. The objects excavated from two sections, date from the Late Stone Age. The site forms a coherent, extensive and high-quality record of ritual practices relating to hunter-gatherer communities in this part of southern Africa over at least 2,000 years, and eloquently illustrates the links between the ritual and economic practices of hunter-gatherers.",S20 35 44.1 E14 22 21.3,Kunene Region,2007,(iii)(v)
Namib Sand Sea,Namibia,"Namib Sand Sea is the only coastal desert in the world that includes extensive dune fields influenced by fog. Covering an area of over three million hectares and a buffer zone of 899,500 hectares, the site is composed of two dune systems, an ancient semi-consolidated one overlain by a younger active one. The desert dunes are formed by the transportation of materials thousands of kilometres from the hinterland, that are carried by river, ocean current and wind. It features gravel plains, coastal flats, rocky hills, inselbergs within the sand sea, a coastal lagoon and ephemeral rivers, resulting in a landscape of exceptional beauty. Fog is the primary source of water in the site, accounting for a unique environment in which  endemic invertebrates, reptiles and mammals adapt to an ever-changing variety of microhabitats and ecological niches.",S24 53 7 E15 24 28,N/A,2013,(vii)(viii)(ix)(x)
Kathmandu Valley ,Nepal,"The cultural heritage of the Kathmandu Valley is illustrated by seven groups of monuments and buildings which display the full range of historic and artistic achievements for which the Kathmandu Valley is world famous. The seven include the Durbar Squares of Hanuman Dhoka (Kathmandu), Patan and Bhaktapur, the Buddhist stupas of Swayambhu and Bauddhanath and the Hindu temples of Pashupati and Changu Narayan.",N27 42 14.22 E85 18 30.888,Kathmandu Valley,1979,(iii)(iv)(vi)
Sagarmatha National Park,Nepal,"Sagarmatha is an exceptional area with dramatic mountains, glaciers and deep valleys, dominated by Mount Everest, the highest peak in the world (8,848 m). Several rare species, such as the snow leopard and the lesser panda, are found in the park. The presence of the Sherpas, with their unique culture, adds further interest to this site.",N27 57 55.008 E86 54 47.016,Solu-Khumbu District of the Sagarmatha Zone,1979,(vii)
Chitwan National Park,Nepal,"At the foot of the Himalayas, Chitwan is one of the few remaining undisturbed vestiges of the 'Terai' region, which formerly extended over the foothills of India and Nepal. It has a particularly rich flora and fauna. One of the last populations of single-horned Asiatic rhinoceros lives in the park, which is also one of the last refuges of the Bengal tiger.",N27 30 0 E84 19 59.988,Chitwan District of the Narayani Zone,1984,(vii)(ix)(x)
"Lumbini, the Birthplace of the Lord Buddha",Nepal,"Siddhartha Gautama, the Lord Buddha, was born in 623 B.C. in the famous gardens of Lumbini, which soon became a place of pilgrimage. Among the pilgrims was the Indian emperor Ashoka, who erected one of his commemorative pillars there. The site is now being developed as a Buddhist pilgrimage centre, where the archaeological remains associated with the birth of the Lord Buddha form a central feature.",N27 28 8.004 E83 16 33.996,"Lumbini Zone, Rupandehi District, Western Terai",1997,(iii)(vi)
Schokland and Surroundings,Netherlands,"Schokland was a peninsula that by the 15th century had become an island. Occupied and then abandoned as the sea encroached, it had to be evacuated in 1859. But following the draining of the Zuider Zee, it has, since the 1940s, formed part of the land reclaimed from the sea. Schokland has vestiges of human habitation going back to prehistoric times. It symbolizes the heroic, age-old struggle of the people of the Netherlands against the encroachment of the waters.",N52 38 19 E5 46 18,"Noordoostpolder, Province of Flevoland",1995,(iii)(v)
Defence Line of Amsterdam,Netherlands,"Extending 135 km around the city of Amsterdam, this defence line (built between 1883 and 1920) is the only example of a fortification based on the principle of controlling the waters. Since the 16th century, the people of the Netherlands have used their expert knowledge of hydraulic engineering for defence purposes. The centre of the country was protected by a network of 45 armed forts, acting in concert with temporary flooding from polders and an intricate system of canals and locks.",N52 22 28 E4 53 35,"Provinces of Noord-Holland (NH), Utrecht (UT)",1996,(ii)(iv)(v)
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Netherlands,The people of the Netherlands established a trading settlement at a fine natural harbour on the Caribbean island of Curaçao in 1634. The town developed continuously over the following centuries. The modern town consists of several distinct historic districts whose architecture reflects not only European urban-planning concepts but also styles from the Netherlands and from the Spanish and Portuguese colonial towns with which Willemstad engaged in trade.,N12 6 6.984 W68 54 7.992,N/A,1997,(ii)(iv)(v)
